dyu,fr
[{'translation_text': 'un route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourtfr une route de sébécourt'}],un route de sébécourt
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],son mandat est alors d'un an
[{'translation_text': 'aimerais téléphonerfr jaimerais téléphonerfr jaimerais téléphonerfr jaimerais téléphonerfr jaimerais téléphonerfr'}],j’aimerais téléphoner
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],les nîmoises possèdent la plus mauvaise attaque du championnat et la mauvaise défense
[{'translation_text': '️ Le dos est blancfr le dos est blancfr'}],le revers est blanc
[{'translation_text': 'Maxime rebonditfrom'}],maxime rebondit
[{'translation_text': 'another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal yellowfr another big animal'}],un autre grand animal jaune
[{'translation_text': 'est un peu fort de caféfr est un peu fort de caféfr est un peu fort de caféfr est un peu fort de caféfr est un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un caféfr un café'}],c’est un peu fort de café
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],quand j’étais jeune flic
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],elle demeure dans sa maison
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],une très grosse bêtise
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],peu à peu  elle s'échauffa
[{'translation_text': 'Is that what I told them... (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (I told them)  (They told them)  (They told them)  (They told them)  (They told them)  (They told them)  ('}],est ce que je leur ai dit  …
[{'translation_text': 'champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille  champs de brande lafrouille'}],champs de brande  la pérouille
[{'translation_text': 'Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr Le port du croizicfr'}],le port du croizic
"[{'translation_text': ""l'île de bréhatfr l'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr L'île de bréhatfr""}]",l'île de bréhat
[{'translation_text': 'ags concerns wagesfrfr'}],l’ags concerne les salaires
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],pécuchet les convoita
[{'translation_text': 'trois impasse de la boisseléefrfr trois impasse de la boisseléefr trois impasse de la boisseléefr trois impasse de la boisseléefr trois impasse de la boisseléefr trois impasse de la boisseléefr Les trois impasses de la boisseléefr Les trois impasses de la boisseléefr Les trois impasses de la boisseléefr Les trois impasses de la boisselée sont les trois impasses de la boisselée'}],trois impasse de la boisselée
[{'translation_text': '️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],tiens   un petit crevé
[{'translation_text': '14 A Avenue de Northwichfrom Northwich'}],quatorze a avenue de northwich
[{'translation_text': 'Passage du carousel feytifrat️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️️'}],passage du caroussel  feytiat
[{'translation_text': 'Place Alexis Ignacefr à Épinal'}],place alexis ignace à épinal
[{'translation_text': 'vous avez un travailfr Vous avez un travailfr Vous avez un travail Vous avez un travailfr Vous avez un travailfr Vous avez un travailfr'}],avez vous un travail
[{'translation_text': 'pendant ce temps le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr le stfr'}],pendant ce temps  le st
